Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Cal St. Northridge,72.9858,15,72.519,13,100.842,268,100.217,283,101.742,90,105.413,158,-5.19604,234,
2024,California,69.768,99,68.4041,118,104.024,209,108.981,126,107.792,252,104.49,141,4.49139,123,
2024,Campbell,66.5348,279,66.5155,243,101.984,249,100.666,275,109.499,286,112.937,321,-12.2709,311,
2024,Canisius,68.0699,205,66.7803,224,100.689,271,100.209,284,105.443,193,108.464,220,-8.25473,274,
2024,Central Arkansas,70.0705,87,69.1421,82,99.7642,284,97.278,320,114.105,347,114.999,346,-17.7215,339,
2024,Central Connecticut,67.4584,246,66.8138,220,103.78,216,101.061,270,100.67,69,108.437,218,-7.37654,262,
2024,Central Michigan,66.1632,300,64.97,310,96.9844,323,96.6188,328,103.424,130,104.97,150,-8.35084,279,
2024,Charleston,69.7286,100,69.7742,59,114.421,23,113.737,58,104.197,160,106.13,176,7.60711,98,13
2024,Charleston Southern,67.5481,238,66.8016,222,94.942,338,95.4562,336,110.13,296,108.486,221,-13.0296,316,
2024,Charlotte,63.1816,356,62.3509,356,106.669,145,108.736,131,104.165,156,104.023,131,4.71365,119,
2024,Chattanooga,68.2132,193,66.8901,216,111.391,54,110.403,95,105.954,209,107.916,212,2.48652,140,
2024,Chicago St.,66.492,284,64.4104,331,96.4397,327,98.8591,304,106.834,225,109.921,250,-11.0615,302,
2024,Cincinnati,68.4132,180,67.2701,188,107.935,120,112.253,77,98.5235,33,95.5289,17,16.7245,37,
2024,Clemson,67.5823,233,66.1043,260,113.635,29,117.427,27,104.781,179,100.49,67,16.9367,34,6
2024,Cleveland St.,68.3736,182,67.2285,191,109.522,94,107.789,146,107.237,239,110.151,257,-2.36202,189,
2024,Coastal Carolina,71.0887,53,69.4201,73,100.1,280,99.529,295,110.853,312,112.193,305,-12.664,313,
2024,Colgate,66.1152,302,66.2214,253,106.356,151,104.651,211,96.8562,16,102.501,104,2.15007,145,14
2024,Colorado,69.0823,137,67.5073,165,113.528,30,117.58,25,101.908,93,99.1138,42,18.4666,26,10
2024,Colorado St.,66.4971,283,65.8055,270,112.111,50,115.379,42,103.134,124,98.7759,37,16.603,38,10
2024,Columbia,69.4073,116,68.4642,112,106.562,148,106.766,168,108.582,267,111.982,299,-5.21557,235,
